production,subject,period,treatment,sequence,sequence index
43.55,1,1,A,AB,1
32.17,1,2,B,AB,1
38.03,2,1,B,BA,4
32.07,2,2,A,BA,4
35.33,3,1,A,AC,2
22.72,3,2,C,AC,2
26.17,4,1,C,CA,7
28.78,4,2,A,CA,7
34.87,5,1,B,BC,5
23.98,5,2,C,BC,5
24.77,6,1,C,CB,8
25.04,6,2,B,CB,8
36.04,7,1,A,AD,3
29.5,7,2,D,AD,3
29.62,8,1,D,DA,10
26.13,8,2,A,DA,10
25.14,9,1,B,BD,6
18.49,9,2,D,BD,6
36.8,10,1,D,DB,11
32.7,10,2,B,DB,11
26.44,11,1,C,CD,9
22.88,11,2,D,CD,9
36.86,12,1,D,DC,12
29.14,12,2,C,DC,12